Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
T1 FreeSurfer DKT lh superiortemporal thickness,1,1,0,0,1,0
T1 FreeSurfer DKT lh precentral thickness,1,1,0,0,1,0
T1 FreeSurfer pial rh posteriorcingulate area,1,1,0,0,1,0
Death-associated protein kinase 2 levels,1,0,1,0,1,1
Candidiasis,1,1,0,0,1,0
Plasma pyridoxal phosphate levels,1,1,0,0,1,0
1-methylguanosine levels,1,1,0,0,1,0
FUT8/TNFSF12 protein level ratio,1,1,0,0,1,0
FUT8/SPARC protein level ratio,1,1,0,0,1,0
Metabolite peak levels (QI2694),1,1,0,0,1,0
Metabolite peak levels (QI2691),1,1,0,0,1,0
Metabolite peak levels (QI2689),1,1,0,0,1,0
Metabolite peak levels (QI250),1,1,0,0,1,0
Metabolite peak levels (QI176),1,1,0,0,1,0
Urocanic acid levels,1,1,0,0,1,0
Succinic acid/Methylmalonic acid levels,1,1,0,0,1,0
Stearic acid levels,1,1,0,0,1,0
Metabolite peak levels (QI2435),1,1,0,0,1,0
FUT8/SORT1 protein level ratio,1,1,0,0,1,0
FUT8/RSPO1 protein level ratio,1,1,0,0,1,0
FUT3_FUT5/LILRA2 protein level ratio,1,1,0,0,1,0
FURIN/IGSF3 protein level ratio,1,1,0,0,1,0
FSTL3/SPON2 protein level ratio,1,1,0,0,1,0
Metabolite peak levels (QI2799),1,1,0,0,1,0
Metabolite peak levels (QI2727),1,1,0,0,1,0
Biological Grandparent (maternal): Alzheimer's / Other Dementia,1,1,0,0,1,0
"Biological Grandparent (maternal): Diabetes / ""Sugar""",1,1,0,0,1,0
Bromodomain-containing protein 1 levels (BRD1.11607.15.3),1,1,0,0,1,0
Diacylglycerol (16:1/22:6) (Model 1),1,1,0,0,1,0
Metabolite peak levels (QI3453),1,1,0,0,1,0
Metabolite peak levels (QI3442),1,1,0,0,1,0
Metabolite peak levels (QI3436),1,1,0,0,1,0
Metabolite peak levels (QI3426),1,1,0,0,1,0
Metabolite peak levels (QI3403),1,1,0,0,1,0
Metabolite peak levels (QI3139),1,1,0,0,1,0
Metabolite peak levels (QI3127),1,1,0,0,1,0
Metabolite peak levels (QI3067),1,1,0,0,1,0
Hip pain,1,0,1,0,1,1
CD46/SIAE protein level ratio,1,1,0,0,1,0
BRICHOS domain-containing protein 5 levels (BRICD5.6612.90.3),1,1,0,0,1,0
Breast cancer anti-estrogen resistance protein 3 levels (BCAR3.12634.79.3),1,1,0,0,1,0
Brain-specific serine protease 4 levels (PRSS22.4534.10.2),1,1,0,0,1,0
Bone morphogenetic protein 7 levels (BMP7.2972.57.2),1,1,0,0,1,0
Cadherin-related family member 5 levels (CDHR5.9962.1.3),1,1,0,0,1,0
Cadherin-related family member 1 levels (CDHR1.8372.29.3),1,1,0,0,1,0
Diacylglycerol (16:1/18:3) (Model 1),1,1,0,0,1,0
Diacylglycerol (16:1/18:0) (Model 1),1,1,0,0,1,0
Diacylglycerol (16:0/22:6) (Model 1),1,1,0,0,1,0
CD59/SCARB2 protein level ratio,1,1,0,0,1,0
CD59/CST6 protein level ratio,1,1,0,0,1,0
CD58/TYRO3 protein level ratio,1,1,0,0,1,0
Gestational insulin sensitivity,1,1,0,0,1,0
Sepsis (90-day mortality),1,1,0,0,1,0
Pneumonia (90-day mortality),1,1,0,0,1,0
Metabolite peak levels (QI3018),1,1,0,0,1,0
Glycodeoxycholate/glycochenodeoxycholate levels,1,1,0,0,1,0
Glycochenodeoxycholic acid levels,1,1,0,0,1,0
DMGV levels,1,1,0,0,1,0
Diacetylspermine levels,1,1,0,0,1,0
Carnitine C4 levels,1,1,0,0,1,0
Phosphatidylethanolamine 36:4 levels,1,1,0,0,1,0
Carnitine C14:2 levels,1,1,0,0,1,0
Carnitine C14:1 levels,1,1,0,0,1,0
Sphingomyelin C14:0 levels,1,1,0,0,1,0
Metabolite peak levels (QI3722),1,1,0,0,1,0
Metabolite peak levels (QI3710),1,1,0,0,1,0
X-14189--leucylalanine levels,1,1,0,0,1,0
Cardiac dysrhythmias (time to event),1,1,0,0,1,0
Neuropathy x type 2 diabetes interaction,1,0,1,0,1,1
Peripheral arterial disease x type 2 diabetes interaction,1,0,1,0,1,1
CD5/CD6 protein level ratio,1,1,0,0,1,0
Phosphatidylethanolamine plasmalogen C38:6 levels,1,1,0,0,1,0
Phosphatidylcholine plasmalogen C38:6 levels,1,1,0,0,1,0
Phosphatidylethanolamine C38:4 levels,1,1,0,0,1,0
Cysteine-rich secretory protein 3 levels (CRISP3.3187.52.2),1,1,0,0,1,0
Complement C1r subcomponent-like protein levels (C1RL.9348.1.3),1,1,0,0,1,0
Metabolite peak levels (QI14615),1,1,0,0,1,0
Metabolite peak levels (QI7703),1,1,0,0,1,0
Metabolite peak levels (QI7601),1,1,0,0,1,0
Pulmonary artery enlargement and chronic obstructive pulmonary disease,1,1,0,0,1,0
Response to radiotherapy in prostate cancer (toxicity),1,1,0,0,1,0
Suicidal ideation in depression or bipolar disorder,1,1,0,0,1,0
Pruritus in nonalcoholic steatohepatitis,1,1,0,0,1,0
Autoimmune disease and mental disorder,1,1,0,0,1,0
B-cell acute lymphoblastic leukaemia (high-hyperdiploidy),1,1,0,0,1,0
Indole-3-lactic acid levels,1,1,0,0,1,0
Guanine levels,1,1,0,0,1,0
Metabolite peak levels (QI8858),1,1,0,0,1,0
Metabolite peak levels (QI8814),1,1,0,0,1,0
Sphingomyelins (FA22:0) (Model 1),1,1,0,0,1,0
Steroid-resistant nephrotic syndrome in nephrotic syndrome,1,0,1,0,1,1
Steroid-resistant nephrotic syndrome,1,0,1,0,1,1
Metabolite peak levels (QI14793),1,1,0,0,1,0
Metabolite peak levels (QI1478),1,1,0,0,1,0
FYB1/MESD protein level ratio,1,1,0,0,1,0
FXYD5/YTHDF3 protein level ratio,1,1,0,0,1,0
Retinal detachment with retinal break,1,1,0,0,1,0
CD6/EZR protein level ratio,1,1,0,0,1,0
Metabolite peak levels (QI7380),1,1,0,0,1,0
Metabolite peak levels (QI7379),1,1,0,0,1,0
Metabolite peak levels (QI7372),1,1,0,0,1,0
Metabolite peak levels (QI7338),1,1,0,0,1,0
Phosphatidylcholine plasmalogen C38:7 levels,1,1,0,0,1,0
Saliva microbiota abundance (unknown Streptococcus species (ASV0009)),1,1,0,0,1,0
Metabolite peak levels (QI8774),1,1,0,0,1,0
Complement factor I levels,1,0,1,0,1,1
Collagen alpha-1(XV) chain levels (COL15A1.8974.172.3),1,1,0,0,1,0
Delta-like protein 1 levels (DLL1.5349.69.3),1,1,0,0,1,0
Dedicator of cytokinesis protein 9 levels (DOCK9.14002.18.3),1,1,0,0,1,0
Cytokine receptor common subunit beta levels (CSF2RB.10512.13.3),1,1,0,0,1,0
GFER/MAVS protein level ratio,1,1,0,0,1,0
Opioid dependence x sex interaction,1,1,0,0,1,0
GALNT10/SEMA7A protein level ratio,1,1,0,0,1,0
Steady-state serum Z-endoxifen concentration in tamoxifen-treated hormone-receptor-positive breast cancer,1,1,0,0,1,0
Leg length (inverse-normalization-transformed),1,1,0,0,1,0
Metabolite peak levels (QI10309),1,1,0,0,1,0
Metabolite peak levels (QI10057),1,1,0,0,1,0
Metabolite peak levels (QI1001),1,1,0,0,1,0
Pyroglutamic acid levels,1,1,0,0,1,0
Sitting height (inverse-normalization-transformed),1,1,0,0,1,0
Metabolite peak levels (QI12764),1,1,0,0,1,0
Metabolite peak levels (QI12743),1,1,0,0,1,0
Metabolite peak levels (QI6455),1,1,0,0,1,0
Metabolite peak levels (QI6383),1,1,0,0,1,0
Metabolite peak levels (QI6365),1,1,0,0,1,0
Metabolite peak levels (QI6333),1,1,0,0,1,0
Metabolite peak levels (QI11083),1,1,0,0,1,0
Metabolite peak levels (QI10969),1,1,0,0,1,0
GMPR/PSMG3 protein level ratio,1,1,0,0,1,0
Principal component-derived dietary pattern 81,1,1,0,0,1,0
Principal component-derived dietary pattern 58,1,1,0,0,1,0
Principal component-derived dietary pattern 54,1,1,0,0,1,0
Principal component-derived dietary pattern 46,1,1,0,0,1,0
Principal component-derived dietary pattern 45,1,1,0,0,1,0
GLRX/THOP1 protein level ratio,1,1,0,0,1,0
Principal component-derived dietary pattern 40,1,1,0,0,1,0
Miscarriage; stillbirth (PheCode 634),1,1,0,0,1,0
Keratitis (PheCode 370),1,1,0,0,1,0
Benign neoplasm of ovary (PheCode 220),1,1,0,0,1,0
Inflammatory diseases of prostate (PheCode 601),1,1,0,0,1,0
Interleukin-1 Receptor accessory protein levels,1,0,1,0,1,1
Inosine-5'-monophosphate dehydrogenase 2 levels,1,0,1,0,1,1
Principal component-derived dietary pattern 36,1,1,0,0,1,0
CD63/CLEC1B protein level ratio,1,1,0,0,1,0
CD55/CHI3L1 protein level ratio,1,1,0,0,1,0
CD48/SLAMF7 protein level ratio,1,1,0,0,1,0
GP2/SELE protein level ratio,1,1,0,0,1,0
GP2/LGALS8 protein level ratio,1,1,0,0,1,0
GP2/LGALS4 protein level ratio,1,1,0,0,1,0
"Cytochrome c oxidase subunit 8A, mitochondrial levels (COX8A.10497.242.3)",1,1,0,0,1,0
"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial levels (COA3.7888.58.3)",1,1,0,0,1,0
Gut microbiome abundance (class Clostridioides difficile (at 1 year) x Household furry pet cat or dog (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Enterococcus faecalis 1 (at 1 year) x Any Formula feeding (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Flavonifractor sp. (at 1 year) x Spring Birth (Mar-May) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Bacteroides sp. 52 (at 1 year) x Exclusive Breastfeeding (3 Months) interaction,1,0,1,0,1,1
Metabolite peak levels (QI648),1,1,0,0,1,0
Metabolite peak levels (QI13644),1,1,0,0,1,0
Metabolite peak levels (QI13613),1,1,0,0,1,0
Metabolite peak levels (QI13360),1,1,0,0,1,0
Metabolite peak levels (QI13235),1,1,0,0,1,0
Metabolite peak levels (QI13066),1,1,0,0,1,0
X-13671 levels,1,1,0,0,1,0
Hydroxyisovaleroyl carnitine levels,1,1,0,0,1,0
X-13477 levels,1,1,0,0,1,0
X-12990--docosapentaenoic acid n6-DPA levels,1,1,0,0,1,0
X-12850 levels,1,1,0,0,1,0
Principal component-derived dietary pattern 17,1,1,0,0,1,0
Threatened premature labor (PheCode 636.1),1,1,0,0,1,0
Irritable Bowel Syndrome (PheCode 564.1),1,1,0,0,1,0
Heart failure NOS (PheCode 428.2),1,1,0,0,1,0
Other and unspecified disc disorder (PheCode 722.9),1,1,0,0,1,0
Bacteremia (PheCode 38.3),1,1,0,0,1,0
Malaise and fatigue (PheCode 798),1,1,0,0,1,0
Irregular menstrual cycle (PheCode 626.13),1,1,0,0,1,0
Anal and rectal conditions (PheCode 565),1,1,0,0,1,0
Metabolite peak levels (QI13785),1,1,0,0,1,0
Metabolite peak levels (QI6691),1,1,0,0,1,0
Spread type: Any oil based spread vs never use spread (UKB data field 1428),1,1,0,0,1,0
Principal component-derived dietary pattern 29,1,1,0,0,1,0
Principal component-derived dietary pattern 21,1,1,0,0,1,0
Metabolite peak levels (QI12942),1,1,0,0,1,0
Metabolite peak levels (QI12890),1,1,0,0,1,0
Benign neoplasm of respiratory and intrathoracic organs (PheCode 212),1,1,0,0,1,0
GGT1/IL1RL2 protein level ratio,1,1,0,0,1,0
GGH/INHBC protein level ratio,1,1,0,0,1,0
GFRA3/TMPRSS5 protein level ratio,1,1,0,0,1,0
GFRA2/IL12A_IL12B protein level ratio,1,1,0,0,1,0
GFRA1/SPON2 protein level ratio,1,1,0,0,1,0
GFER/VASH1 protein level ratio,1,1,0,0,1,0
Lean mass index,1,1,0,0,1,0
Milk type used: Soy milk vs never have milk (UKB data field 1418),1,1,0,0,1,0
Vascular endothelial growth factor levels in major depressive disorder,1,1,0,0,1,0
FXYD5/TANK protein level ratio,1,1,0,0,1,0
FXYD5/PRDX3 protein level ratio,1,1,0,0,1,0
FXYD5/IRAK1 protein level ratio,1,1,0,0,1,0
FUT8/VEGFC protein level ratio,1,1,0,0,1,0
Metabolite peak levels (QI6685),1,1,0,0,1,0
Metabolite peak levels (QI6558),1,1,0,0,1,0
Disorders of tooth development (PheCode 520),1,1,0,0,1,0
GLOD4/PARK7 protein level ratio,1,1,0,0,1,0
GLOD4/NSFL1C protein level ratio,1,1,0,0,1,0
GLOD4/GMPR protein level ratio,1,1,0,0,1,0
GLO1/GLOD4 protein level ratio,1,1,0,0,1,0
GLB1/PCSK9 protein level ratio,1,1,0,0,1,0
Althete's foot (PheCode 110.12),1,1,0,0,1,0
Foreign body injury (PheCode 1001),1,1,0,0,1,0
Chronic tonsillitis and adenoiditis (PheCode 474.2),1,1,0,0,1,0
Metabolite peak levels (QI15953),1,1,0,0,1,0
Metabolite peak levels (QI15952),1,1,0,0,1,0
Metabolite peak levels (QI15804),1,1,0,0,1,0
Metabolite peak levels (QI15802),1,1,0,0,1,0
Ribothymidine levels,1,1,0,0,1,0
Metabolite peak levels (QI9993),1,1,0,0,1,0
GLB1/IMPA1 protein level ratio,1,1,0,0,1,0
TMAO to deoxycarnitine ratio,1,1,0,0,1,0
Gut microbiome abundance (class Bacteroides sp. 17 (at 3 months) x Maternal Birth Antibiotics Use interaction,1,0,1,0,1,1
Gut microbiome abundance (class Streptococcus sp. (at 3 months) x Household furry pet cat or dog (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Anaerostipes sp. 8 (at 3 months) x Any household furry Pets (3 Months)  interaction,1,0,1,0,1,1
Gut microbiome abundance (class [Ruminococcus] gnavus  sp. (at 3 months) x Any household furry Pets (3 Months)  interaction,1,0,1,0,1,1
Metabolite peak levels (QI9885),1,1,0,0,1,0
Metabolite peak levels (QI13988),1,1,0,0,1,0
Metabolite peak levels (QI13969),1,1,0,0,1,0
Glossitis (PheCode 529.1),1,1,0,0,1,0
Metabolite peak levels (QI15628),1,1,0,0,1,0
Metabolite peak levels (QI15625),1,1,0,0,1,0
Metabolite peak levels (QI15587),1,1,0,0,1,0
Metabolite peak levels (QI9738),1,1,0,0,1,0
Metabolite peak levels (QI9710),1,1,0,0,1,0
Metabolite peak levels (QI9708),1,1,0,0,1,0
GLOD4/QDPR protein level ratio,1,1,0,0,1,0
GLOD4/PEBP1 protein level ratio,1,1,0,0,1,0
Gut microbiome abundance (class Clostridium sensu stricto sp. (at 1 year) x Any Formula feeding  (1 Year) interaction,1,0,1,0,1,1
Gut microbiome abundance (class [Ruminococcus] torques  sp. 13 (at 1 year) x Exclusive Breastfeeding (Duration) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Clostridium sensu stricto sp. 33 (at 1 year) x Household furry pet cat (1 Year) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Escherichia coli (at 3 months) x Any Formula feeding (3 Months) interaction,1,0,1,0,1,1
Waist circumference (aged 64-69 years),1,1,0,0,1,0
Body fat percentage (aged 64-69 years),1,1,0,0,1,0
Metabolite peak levels (QI2222),1,1,0,0,1,0
Metabolite peak levels (QI2187),1,1,0,0,1,0
Metabolite peak levels (QI2146),1,1,0,0,1,0
Metabolite peak levels (QI2044),1,1,0,0,1,0
"Lumbosacral spondylolysis, congenital (PheCode 754.1)",1,1,0,0,1,0
Chemotherapy (PheCode 197),1,1,0,0,1,0
Waist-hip ratio (aged 40-50 years),1,1,0,0,1,0
Body fat percentage (aged 40-50 years),1,1,0,0,1,0
Gut microbiome abundance (class Clostridium sensu stricto sp. 17 (at 3 months) x Any Formula feeding (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Bifidobacterium catenulatum (at 3 months) x Summer Birth (Jun-Aug) interaction,1,0,1,0,1,1
Gut microbial network clusters (Purple (at 1 year) x Any Breastfeeding (12 Months) interaction,1,0,1,0,1,1
Gut microbial network clusters (Pink (at 1 year) x Birth Weight interaction,1,0,1,0,1,1
Secondary malignancy of lymph nodes (PheCode 198.1),1,1,0,0,1,0
Fever of unknown origin (PheCode 783),1,1,0,0,1,0
Noninflammatory female genital disorders (PheCode 619),1,1,0,0,1,0
Other disorders of eye (PheCode 379),1,1,0,0,1,0
Postoperative infection (PheCode 80),1,1,0,0,1,0
"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue (PheCode 528)",1,1,0,0,1,0
Constipation (PheCode 563),1,1,0,0,1,0
Other hypertrophic and atrophic conditions of skin (PheCode 701),1,1,0,0,1,0
Muscular dystrophies and other myopathies (PheCode 359),1,1,0,0,1,0
Gut microbial network clusters (GreenYellow (at 3 months) x Summer Birth (Jun-Aug) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Bifidobacterium catenulatum (at 1 year) x Homesmokers interaction,1,0,1,0,1,1
Gut microbiome abundance (class Collinsella sp. 3 (at 1 year) x Any Formula feeding (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Megasphaera micronuciformis (at 1 year) x Maternal Birth Antibiotics Use interaction,1,0,1,0,1,1
Gut microbiome abundance (class Lachnoclostridium sp. 15 (at 1 year) x Any Formula feeding  (1 Year) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Clostridium sensu stricto sp. 33 (at 1 year) x Vaginal Birth interaction,1,0,1,0,1,1
Nausea and vomiting (PheCode 789),1,1,0,0,1,0
Metabolite peak levels (QI9873),1,1,0,0,1,0
Metabolite peak levels (QI9845),1,1,0,0,1,0
Metabolite peak levels (QI9811),1,1,0,0,1,0
Metabolite peak levels (QI9810),1,1,0,0,1,0
Metabolite peak levels (QI9778),1,1,0,0,1,0
Metabolite peak levels (QI9777),1,1,0,0,1,0
Metabolite peak levels (QI9774),1,1,0,0,1,0
Metabolite peak levels (QI1841),1,1,0,0,1,0
Metalloproteinase inhibitor 4 protein levels (SomaScan ID:4152-58),1,1,0,0,1,0
Protocadherin alpha-C1 protein levels (SomaScan ID:3029-52),1,1,0,0,1,0
Caspase-4 protein levels (SomaScan ID:13541-1),1,1,0,0,1,0
Gut microbial network clusters (Salmon (at 1 year) x Summer Birth (Jun-Aug) interaction,1,0,1,0,1,1
Gut microbial network clusters (Red (at 1 year) x Homesmokers interaction,1,0,1,0,1,1
Gut microbial network clusters (Purple (at 1 year) x Summer Birth (Jun-Aug) interaction,1,0,1,0,1,1
Metabolite peak levels (QI15785),1,1,0,0,1,0
Metabolite peak levels (QI15633),1,1,0,0,1,0
Other symptoms of respiratory system (PheCode 512),1,1,0,0,1,0
Acidosis (PheCode 276.41),1,1,0,0,1,0
Metabolite peak levels (QI12663),1,1,0,0,1,0
Metabolite peak levels (QI12497),1,1,0,0,1,0
Metabolite peak levels (QI12488),1,1,0,0,1,0
Metabolite peak levels (QI12470),1,1,0,0,1,0
Histone acetyltransferase type B catalytic subunit protein levels (SomaScan ID:24649-11),1,1,0,0,1,0
Synaptotagmin-9 protein levels (SomaScan ID:14048-7),1,1,0,0,1,0
Protein Wnt-3a protein levels (SomaScan ID:3676-15),1,1,0,0,1,0
PAI-2 protein levels (SomaScan ID:12587-65),1,1,0,0,1,0
Low-density lipoprotein receptor-related protein 1B protein levels (SomaScan ID:23181-2),1,1,0,0,1,0
V(D)J recombination-activating protein 1 protein levels (SomaScan ID:8397-147),1,1,0,0,1,0
Protein p13 MTCP-1 protein levels (SomaScan ID:3166-92),1,1,0,0,1,0
CD40 ligand protein levels (SomaScan ID:20570-18),1,1,0,0,1,0
Metabolite peak levels (QI12128),1,1,0,0,1,0
Metabolite peak levels (QI12070),1,1,0,0,1,0
Metabolite peak levels (QI6095),1,1,0,0,1,0
Metabolite peak levels (QI9878),1,1,0,0,1,0
Fracture of vertebral column without mention of spinal cord injury (PheCode 805),1,1,0,0,1,0
Spondylosis without myelopathy (PheCode 721.1),1,1,0,0,1,0
Interleukin-17 receptor D levels,1,0,1,0,1,1
Gut microbiome abundance (class [Clostridium] innocuum  sp. (at 1 year) x Any Household furry Pets (1 Year) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Blautia obeum (at 3 months) x Older Siblings interaction,1,0,1,0,1,1
Gut microbiome abundance (class Clostridium sensu stricto sp. 4 (at 3 months) x Spring Birth (Mar-May) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Veillonella sp. 5 (at 3 months) x Fall Birth (Sept-Nov) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Bacteroides sp. 17 (at 3 months) x Winter Birth (Dec-Feb) interaction,1,0,1,0,1,1
Gut microbial network clusters (MidnightBlue (at 1 year) x Any Formula feeding  (1 Year) interaction,1,0,1,0,1,1
C-C motif chemokine 20 protein levels (SomaScan ID:9269-7),1,1,0,0,1,0
Estradiol 17-beta-dehydrogenase 8 protein levels (SomaScan ID:5091-28),1,1,0,0,1,0
Metabolite peak levels (QI1839),1,1,0,0,1,0
Asthma in lymphoma,1,1,0,0,1,0
Phenol sulfate levels,1,1,0,0,1,0
Physical activity (walking duration),1,1,0,0,1,0
Interleukin-12 receptor subunit beta-1 levels,1,0,1,0,1,1
Pro-cathepsin H levels,1,1,0,0,1,0
"Fatty acid-binding protein,intestinal levels",1,1,0,0,1,0
Phosphatidylethanolamine (O-18:2_18:2) levels,1,1,0,0,1,0
Gut microbial network clusters (Yellow (at 1 year) x Older Siblings interaction,1,0,1,0,1,1
Gut microbiome abundance (class Blautia sp. 9 (at 1 year) x Exclusive Breastfeeding (Duration) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Haemophilus sp. 3 (at 3 months) x Birth Weight interaction,1,0,1,0,1,1
Gut microbiome abundance (class Clostridioides difficile (at 3 months) x Any household furry Pets (3 Months)  interaction,1,0,1,0,1,1
Gut microbiome abundance (class Haemophilus sp. 3 (at 1 year) x Household furry pet dog (1 Year) interaction,1,0,1,0,1,1
Chronic bronchitis in chronic obstructive pulmonary disease,1,1,0,0,1,0
Schizophrenia (treatment resistant),1,1,0,0,1,0
Metabolite peak levels (QI12380),1,1,0,0,1,0
Metabolite peak levels (QI12147),1,1,0,0,1,0
X-23652 levels,1,1,0,0,1,0
Piperine levels,1,1,0,0,1,0
Asthma in lung disease,1,1,0,0,1,0
GM1 ganglioside (d18:1/16:0) levels,1,1,0,0,1,0
Gut microbiome abundance (class Roseburia sp. 17 (at 1 year) x Fall Birth (Sept-Nov) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Anaerostipes sp. (at 3 months) x Household furry pet cat or dog (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class [Eubacterium] oxidoreducens  sp. (at 1 year) x Spring Birth (Mar-May) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Faecalibacterium sp. 18 (at 1 year) x Fall Birth (Sept-Nov) interaction,1,0,1,0,1,1
Gut microbiome abundance (class swine fecal (at 1 year) x Household furry pet cat (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Bacteroides sp. 6 (at 1 year) x Household furry pet cat or dog (1 Year) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Bacteroides sp. 6 (at 1 year) x Any Household furry Pets (1 Year) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Agathobacter sp. 6 (at 1 year) x Household furry pet dog (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Parasutterella sp. 1 (at 1 year) x Spring Birth (Mar-May) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Faecalibacterium sp. 18 (at 1 year) x Any Breastfeeding (12 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Bacteroides sp. 61 (at 1 year) x Household furry pet cat or dog (3 Months) interaction,1,0,1,0,1,1
Diacylglycerol (14:0_18:2) levels,1,1,0,0,1,0
Myalgia and myositis unspecified (PheCode 770),1,1,0,0,1,0
Transitory tachypnea or apnea of newborn (PheCode 656.26),1,1,0,0,1,0
Hematoma volume in lobar spontaneous intracerebral hemorrhage,1,1,0,0,1,0
Ovarian dysfunction (PheCode 256),1,1,0,0,1,0
Gut microbiome abundance (class Veillonella atypica (at 1 year) x Household furry pet dog (1 Year) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Terrisporobacter sp. 2 (at 1 year) x Any Formula feeding (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Lachnoclostridium sp. (at 1 year) x Winter Birth (Dec-Feb) interaction,1,0,1,0,1,1
Macrophage mannose receptor 1 levels (MRC1.2637.77.2),1,1,0,0,1,0
Gut microbiome abundance (class Lachnospiraceae UCG-001 sp. 2 (at 1 year) x Household furry pet cat or dog (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Bacteroides sp. 52 (at 1 year) x Any Formula feeding  (1 Year) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Klebsiella oxytoca (at 1 year) x Household furry pet cat or dog (3 Months) interaction,1,0,1,0,1,1
Serum uromodulin concentration,1,1,0,0,1,0
Sciatica caused by lumbar disc herniation (treated with microdiscectomy),1,1,0,0,1,0
Chronotype in high daytime light exposure,1,1,0,0,1,0
Palmitic amide levels,1,1,0,0,1,0
Palmitate (16:0) levels,1,1,0,0,1,0
Gut microbial network clusters (Blue (at 3 months) x Birth Weight interaction,1,0,1,0,1,1
Gut microbial network clusters (Turquoise (at 3 months) x Older Siblings interaction,1,0,1,0,1,1
Gut microbial network clusters (Tan (at 3 months) x Birth Weight interaction,1,0,1,0,1,1
Gut microbial network clusters (Tan (at 3 months) x Winter Birth (Dec-Feb) interaction,1,0,1,0,1,1
Gut microbial network clusters (Tan (at 3 months) x Any household furry Pets (3 Months)  interaction,1,0,1,0,1,1
Gut microbial network clusters (SkyBlue (at 3 months) x Birth Weight interaction,1,0,1,0,1,1
Gut microbial network clusters (GreenYellow (at 3 months) x Household furry pet dog (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Megasphaera micronuciformis (at 1 year) x Any Formula feeding (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Clostridium sensu stricto sp. 17 (at 1 year) x Any Formula feeding (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Clostridium sensu stricto sp. 17 (at 1 year) x Exclusive Breastfeeding (3 Months) interaction,1,0,1,0,1,1
Gut microbiome abundance (class Clostridium sensu stricto sp. 17 (at 1 year) x Maternal Birth Antibiotics Use interaction,1,0,1,0,1,1
